iter	RMSE
0	35597.31021
1	35596.1122
2	35594.99973
3	35593.95807
4	35592.68443
5	35591.68224
6	35590.41998
7	35589.30218
8	35588.71094
9	35587.09925
10	35586.19561
11	35585.22776
12	35583.7226
13	35582.8882
14	35581.71831
15	35580.90146
16	35579.79096
17	35579.2005
18	35578.39571
19	35577.18094
20	35575.93847
21	35575.01502
22	35574.29216
23	35573.43057
24	35572.33535
25	35571.15072
26	35570.33243
27	35569.41958
28	35568.61581
29	35567.82623
30	35566.88498
31	35566.05324
32	35565.21037
33	35564.20933
34	35563.04508
35	35561.90677
36	35561.21104
37	35560.15794
38	35559.23265
39	35558.20429
40	35557.11603
41	35556.18938
42	35555.39198
43	35554.14028
44	35553.31942
45	35552.26092
46	35551.26453
47	35550.25435
48	35548.88121
49	35547.81054
50	35546.99047
51	35546.07154
52	35545.23116
53	35544.41093
54	35543.63819
55	35542.52255
56	35541.59929
57	35540.26305
58	35539.35162
59	35538.4552
60	35537.3964
61	35536.73063
62	35535.71015
63	35534.60832
64	35533.99225
65	35533.50847
66	35532.52613
67	35531.50454
68	35530.2403
69	35529.43971
70	35528.62761
71	35527.77379
72	35526.90104
73	35525.57368
74	35524.6437
75	35523.67077
76	35522.73018
77	35522.03408
78	35521.14699
79	35519.98383
80	35519.07014
81	35518.38675
82	35517.09631
83	35515.98518
84	35515.37906
85	35514.57468
86	35513.8417
87	35512.75432
88	35511.79736
89	35510.72845
90	35509.78122
91	35508.69408
92	35507.87111
93	35507.27431
94	35506.25699
95	35505.4724
96	35504.73662
97	35503.58958
98	35502.89377
99	35501.88819
100	35500.7598
101	35499.70343
102	35499.12543
103	35498.72327
104	35498.04531
105	35497.08511
106	35496.27948
107	35495.25763
108	35494.36013
109	35493.637
110	35492.51968
111	35491.53874
112	35490.89176
113	35490.05057
114	35488.8857
115	35487.84044
116	35486.94379
117	35485.74702
118	35484.68829
119	35483.77807
120	35483.40884
121	35482.68831
122	35481.95072
123	35481.19326
124	35480.54558
125	35479.606
126	35478.96989
127	35478.06774
128	35477.39885
129	35476.29912
130	35475.52315
131	35474.93274
132	35474.00801
133	35473.21162
134	35472.25131
135	35471.23159
136	35470.16559
137	35469.4178
138	35468.75554
139	35467.99859
140	35467.06859
141	35466.40365
142	35465.58557
143	35464.52631
144	35463.491
145	35462.26824
146	35461.50269
147	35460.26143
148	35459.66791
149	35459.1181
150	35458.42739
151	35457.06322
152	35456.37725
153	35455.62521
154	35455.09873
155	35454.12678
156	35453.38538
157	35452.55315
158	35451.65174
159	35450.77306
160	35449.68286
161	35449.0619
162	35448.17068
163	35447.6221
164	35446.42501
165	35445.90488
166	35444.96644
167	35444.05894
168	35443.34172
169	35442.64616
170	35441.77821
171	35440.77229
172	35439.6435
173	35438.48582
174	35437.4236
175	35436.53367
176	35435.63551
177	35434.77297
178	35433.97795
179	35433.15644
180	35432.29882
181	35431.22872
182	35430.60584
183	35429.811
184	35428.86487
185	35427.74744
186	35427.06121
187	35426.55416
188	35425.70897
189	35424.6267
190	35424.03937
191	35423.43014
192	35422.57349
193	35421.55351
194	35420.98144
195	35420.00776
196	35418.95993
197	35418.29911
198	35417.76142
199	35417.02995
200	35416.31571
201	35415.30543
202	35414.74435
203	35413.74429
204	35412.71009
205	35411.92068
206	35411.31552
207	35410.56258
208	35409.55078
209	35408.56273
210	35407.70101
211	35407.14925
212	35406.11682
213	35405.16897
214	35404.37224
215	35404.0439
216	35403.19281
217	35402.4804
218	35401.47924
219	35400.70553
220	35399.95707
221	35398.91602
222	35398.1264
223	35397.51699
224	35396.7366
225	35395.76945
226	35395.1762
227	35394.39631
228	35393.47344
229	35392.63011
230	35391.65948
231	35390.75083
232	35389.66626
233	35388.88899
234	35388.2399
235	35387.40739
236	35386.22199
237	35385.43771
238	35384.62364
239	35383.66877
240	35382.90444
241	35381.8707
242	35380.84283
243	35379.86294
244	35379.05524
245	35378.31666
246	35377.26933
247	35376.48346
248	35375.55665
249	35374.60565
250	35373.70152
251	35372.87593
252	35372.16705
253	35371.06217
254	35370.53768
255	35369.76992
256	35369.0321
