iter	Passed	Remaining
0	116	93360
1	238	95074
2	348	92609
3	477	95000
4	608	96757
5	713	94448
6	821	93014
7	939	93022
8	1068	93902
9	1206	95336
10	1331	95539
11	1454	95493
12	1593	96454
13	1694	95157
14	1799	94199
15	1900	93102
16	2012	92688
17	2124	92281
18	2246	92340
19	2350	91664
20	2456	91130
21	2556	90407
22	2656	89759
23	2768	89519
24	2872	89038
25	2996	89191
26	3107	88978
27	3216	88679
28	3328	88501
29	3443	88374
30	3562	88369
31	3665	87963
32	3770	87633
33	3889	87629
34	4003	87500
35	4109	87215
36	4219	87020
37	4335	86942
38	4436	86568
39	4561	86676
40	4675	86553
41	4786	86384
42	4890	86099
43	5036	86538
44	5152	86450
45	5259	86202
46	5354	85780
47	5445	85315
48	5524	84676
49	5625	84378
50	5713	83913
51	5801	83456
52	5941	83740
53	6037	83400
54	6121	82924
55	6213	82551
56	6304	82180
57	6398	81861
58	6491	81525
59	6603	81443
60	6699	81167
61	6797	80909
62	6883	80529
63	6968	80134
64	7058	79816
65	7135	79358
66	7189	78652
67	7256	78117
68	7312	77474
69	7382	76994
70	7449	76488
71	7520	76043
72	7592	75609
73	7663	75189
74	7740	74823
75	7811	74416
76	7883	74022
77	7959	73679
78	8046	73437
79	8128	73157
80	8195	72750
81	8255	72285
82	8327	71941
83	8394	71551
84	8472	71264
85	8545	70944
86	8622	70661
87	8696	70366
88	8768	70048
89	8831	69673
90	8899	69334
91	8970	69036
92	9038	68713
93	9104	68378
94	9180	68132
95	9247	67814
96	9313	67500
97	9379	67188
98	9436	66814
99	9511	66578
100	9584	66331
101	9663	66128
102	9729	65837
103	9786	65495
104	9855	65233
105	9924	64977
106	9974	64602
107	10042	64347
108	10095	64000
109	10160	63734
110	10220	63440
111	10278	63138
112	10349	62920
113	10399	62581
114	10468	62356
115	10526	62070
116	10598	61867
117	10658	61604
118	10717	61330
119	10769	61024
120	10822	60733
121	10875	60440
122	10926	60140
123	10973	59825
124	11022	59522
125	11082	59281
126	11135	59009
127	11186	58727
128	11245	58496
129	11292	58201
130	11337	57900
131	11388	57634
132	11435	57351
133	11493	57122
134	11553	56909
135	11604	56655
136	11649	56375
137	11699	56126
138	11751	55883
139	11804	55650
140	11853	55399
141	11897	55132
142	11948	54894
143	11998	54657
144	12045	54412
145	12099	54199
146	12155	53996
147	12205	53771
148	12261	53573
149	12325	53411
150	12377	53199
151	12427	52979
152	12471	52737
153	12521	52526
154	12568	52302
155	12621	52103
156	12671	51898
157	12725	51706
158	12782	51532
159	12835	51341
160	12885	51140
161	12937	50949
162	12987	50756
163	13026	50518
164	13076	50325
165	13121	50116
166	13173	49932
167	13226	49757
168	13283	49595
169	13339	49433
170	13392	49263
171	13444	49086
172	13499	48924
173	13550	48750
174	13601	48575
175	13643	48373
176	13690	48188
177	13738	48008
178	13784	47823
179	13844	47687
180	13904	47553
181	13958	47398
182	14013	47247
183	14066	47092
184	14120	46940
185	14170	46778
186	14214	46595
187	14260	46423
188	14309	46258
189	14357	46093
190	14404	45929
191	14454	45772
192	14498	45600
193	14552	45459
194	14609	45326
195	14662	45183
196	14726	45077
197	14780	44939
198	14838	44814
199	14901	44704
200	14950	44554
201	15007	44427
202	15071	44324
203	15127	44196
204	15175	44046
205	15241	43948
206	15299	43828
207	15351	43693
208	15424	43616
209	15482	43499
210	15550	43407
211	15611	43300
212	15675	43199
213	15746	43118
214	15796	42980
215	15870	42910
216	15936	42815
217	15997	42709
218	16059	42604
219	16127	42516
220	16183	42399
221	16238	42278
222	16302	42180
223	16371	42098
224	16442	42020
225	16518	41953
226	16608	41922
227	16682	41853
228	16748	41762
229	16814	41669
230	16864	41541
231	16917	41418
232	16978	41316
233	17036	41209
234	17121	41164
235	17169	41031
236	17212	40887
237	17263	40766
238	17308	40627
239	17362	40511
240	17417	40398
241	17470	40283
242	17536	40196
243	17589	40081
244	17639	39957
245	17698	39856
246	17750	39740
247	17824	39674
248	17886	39580
249	17953	39497
250	18011	39396
251	18061	39276
252	18106	39146
253	18158	39034
254	18210	38921
